'	333
the	8_33_56_106_110_121_126_143_156_187_196_199_205_209_219_241_265_269_276_281_284_289_293_298_306_320_379_400_412_416_419_449_458_480_485_509_512_517_522_525_542_557_561_567_595_618_638_641_660_666_698_713_742_773_778_782_795_833_841
they	113_405_446_570_849
those	739
threaten	441
throughout	218
tim	193
to	39_99_351_369_399_418_475_479_499_503_633_725_741_772_853
town	584
track	860
trade	180
transform	297
travel	128_311
tremendous	250
turkey	504
two	20_465
uk	206_277
un	28_77
uncertainty	176
unclear	644
under	541
unification	59
union	158
united	518_796
university	745
use	72_527
various	670
vehicle	628
veteran	783
vicious	429
victim	608
violate	76
warn	166
watch	696
we	87_89_288
weight	719
well	232_737
wetherspoon	202
what	36
when	445_823
whether	149
which	762
while	342
whose	812
will	532_668
with	7_372_442_807_839
work	262_813
worker	330_332
world	220_506
would	90_174_836
year	495
zeppelin	788_846
