%	860
'	229
inform	440
insist	301
iran	748_804
islamic	132
islamist	14_186_636_718
it	98_136_388
italian	116
italians	2
its	213_258_261
japanese	5_118
jayrud	624_659_712
jill	52
johnston	654
kabul	211_254
kachin	507
kill	11_614_640
knife	88_495
labor	560
last	518
late	77
latest	182
launch	47
law	276_309
leader	191_235_581
least	616
leave	305_332_824
legislative	600
liberal	579
life	154
like	468
link	214_259
listen	523
london	326
look	467
majority	367_567
make	431
malcolm	583
man	83
mansoor	285
many	111_453_835
mass	121
massoud	220
mcgivering	53
media	807
medical	683
message	228
middle	650
militant	65_187_719
militants	25
million	821
minimum	781
minister	577
mob	493
moderate	795
monoply	247
more	775
mosque	480_514
most	744
much	762
mullah	236_280_283
murder	122
must	256
myanmar	483_517
national	6_750_780
near	711
nearly	818
negotiate	62_203_269
new	190
newly	233
news	526_870
night	23_58
nine	1
northeast	626
northern	482
not	244_288_396_438
number	410
of	112_123_192_313_319_355_368_411_417_555_568_623_627_664_703_769_814_832
omar	281
on	16_21_78_91_162_248_274_414_693
one	336
open	89
operation	50
opportunity	842
opposition	559
organiser	337
other	499
out	702
over	760
overnight	161
parachute	707
party	561_580
pay	765
peace	205_271_291
people	412_454_618_822_867
pilot	644_697
place	671
police	59_142
popular	107
population	400
power	249
predecessor	279
preliminary	266
president	796
priest	149_175
prime	576
process	354
promise	735
protest	323
protestor	339
punish	741
put	563_722
rebel	637
rebel-held	621
recieve	774
reflect	397
reject	290
release	810
remain	379_445_856
report	54_221_603_655_657
reportedly	773
rerun	386
rescue	49
residential	678
resign	757
responsible	738
result	394_419_543
revelation	759
rioter	492
risk	565
rouhani	798
ruling	570
safdar	787
say	135_146_198_240_338_460_606_660_686_785
sayyed	786
school	675
seek	840
seem	405
senate	593
senior	745
settlement	206_272
seven	4
sever	212_257
several	682
sharia	275_308
shell	609
shock	450
show	816
similar	510
since	424_827
so	544
so-called	131
some	383
soon	721
southern	144
stab	160
staff	36
state	133_508
step	267
stick	497
stop	342
storm	26_72
strike	612_668
strongly	376
suggest	546
support	377
suspect	185
swing	556
syria	605
syrian	642
take	95
taliban	194_231
talk	292
target	802
ten	318
than	776
that	302_392_428_461_607_736_817
the	9_27_57_64_69_73_113_120_130_139_168_181_189_193_208_230_241_253_294_311_333_343_352_358_369_374_378_398_415_418_432_488_502_528_534_538_558_566_569_574_586_592_597_620_630_646_670_690_709_726_743_767_770_779_794_812_825_828_848
then	94
there	404_552_661
they	299_393_429_436_763
think	403_837
this	469_477_729
those	737
thousand	320
through	56
time	778
to	61_178_260_331_341_406_444_466_474_487_524_595_687_700_708_723_756_838
totally	289
towards	268_557
town	622
trigger	346
try	60
turn	457
turnbull	584
unemployment	853
united	849
unknown	165
unprecedented	126
upmarket	101
vast	409
very	548
violence	511
vote	443_535
voter	372_463
wage	782
waheed	219
want	245_384
warplane	705
we	442_471_649
weapon	500
week	519
western	216_262
what	421
where	76
which	350
while	361
who	413_455_790
wield	494
with	63_85_108_215_293_531
withdraw	356
worker	684
world	525
would	201_739
wrong	433
you	521
young	82_866
