's	51_411_418_627_884_893
respond	760_805
rest	170
restriction	87
result	415_467_470
right	292
rights	124_649
sale	86
satisfy	845
say	33_116_132_147_161_320_377_512_588_650_853
scale	911
scientist	894
sea	64
second	272
secure	149
see	468_527
seed	386
seem	279
seize	182
sell	24
series	924
serious	620
serve	607
shuttle	904
size	918
skeptic	442
slight	502
so	303_513
softening-out	248
some	141_245_747_795
south	62
southern	574
space	903
standard	863
state	179
states.jonathan	73
station	422
still	120_135_476_490
stronghold	632
subject	121
suggest	828
suicide	570
summit	690_709
sunday	417
supplier	384
support	539_555
surprise	343
suspend	833
syria	626
syrian	645
system	715
take	484_678
tartous	684
tell	520
temporary	609
tend	327
term	238_780
territorial	58
than	185
that	234_304_515_792_829
the	8_27_34_37_45_49_61_71_83_96_100_105_155_173_196_211_214_264_270_277_294_300_311_340_350_361_378_382_403_424_434_437_448_469_522_532_535_546_560_566_573_596_612_631_634_640_644_662_681_686_693_708_712_743_766_807_810_824_830_838_847_854_896_906_917_920_923
there	616_724_769
they	242_307_319_324_334_497_785_800_899
this	3_126_730
those	480
thousand	150_190_393
three	672
to	17_26_93_169_280_284_296_299_315_328_359_408_428_504_519_676_753_755_759_761_790_794_804_806_823_880_913
today	399_697
too	426
toprovisoson	122
toss-up	255
totally	347
travel	879
troops	192
try	754_789_803
turkey	704
turkish	825_875
two	133_186_623
under	167_337
union	840
united	72_694
unmanned	901
unnerve	67
until	333
us	362
use	857
van	454_506_542
very	473_474
vestige	43
vienna	464
vietnam	18_101
vietnamese	28
visa	877
visit	16_52
vote	396_482_536
voting	419
war	47_102
way	168_338
we	229_525
wealthiest	383
weapon	25
well	751
west	200_301
what	306_858
when	479
where	130
whether	310
which	145_909
while	223
who	181_400_705_814
will	148_243_380_397_471
win	402
wing	907
with	7_78_109_287_500_837_846
work	756
world	563_688
year	187
yemeni	575_613
yet	322
