'	749
flare-up	505
flee	154_366
flow	812
footage	473
for	143_187_305_604_643_677_846
former	705
fort	371
four	497
franklin	731_771
from	263_420_543_813
fuel	384
gap	755
gaza	501
get	637
girl	716
government	50
grim	747
group	820
grow	342_395
hamas	498
have	15_46_52_86_128_152_198_252_281_300_341_364_404_493_552_563_577_653_702_733_786_803_828_837
he	173_202_208_236_267_269_284_470_584_602_611_620_631_662_672
hear	769
hectare	449
helicopter	352
here	218
highway	478
hinder	581
history	468
home	156_368
hour	414_437
house	127_167_243_248_559_642
how	770
idlib	32
impeach	567
impeachment	644
in	31_38_55_58_226_233_249_321_343_369_464_500_506_550_608_617_636_639_684_698_725_782_792_841_866
increase	400
injure	530
innocent	149
into	583
investigation	582_607
ireland	858
islam	97
israel	525
israeli	490_514_538
it	22_101_110_309_358_459_517_655_827_869
josh	135
journalist	37
jr.	732
jury	697
justifiable	141
justin	455
key	634
kill	16_536
killer	740
kilometer	412
know	25_743
labor	882
largest	462
last	433_888
late	389_432_438_676
later	535
launch	494
laura	220
lead	564
leader	887
least	18
liar	119
local	44_864
long	307
lonnie	729
look	82
los	726
lower	558_641
main	880
majority	214
mass	739
mcmurry	372
militant	785_799
military	515
million	614
minister	454
more	360_721_757_861
morrison	379
mortar	521
most	627
mr.	191_599
murder	709_765
muslims	262
national	852
near	8
new	886
news	542_892
next	687
niger	794_823
nigeria	783
night	434
nine	710
no	78_140
northern	857
northwest	422
not	24_175_272_286
nothing	485
now	238
obstruct	606
of	164_168_213_215_241_244_255_325_332_348_474_487_556_560_580_601_615_624_667_708_720_736_756_764_844_874
official	781
oil	790_810
on	3_337_407_496_689_773
one	79_623_814
opinion	876
opposition	881
out	28_145_331_427
over	717
own	585
palestinians	528
parliament	458_849
part	840
party	184_883
past	251
paul	170_223
people	20_45_299_363
period	719
piette	590
plane	492
platform	791_832
play	632
political	875
politician	312
poor	774
position	499
post	603
powerful	386
premier	441
presidency	189
president	232_569_647_678
prey	772
prime	453
principle	205
proceedings	645
proposal	259
province	33_324_466
put	313
race	476
rage	330
range	843
rapidly	396
ready	176_273_287
rebel	54
recent	59
record	406
refugee	6
refuse	706
region	40_796
removal	673
report	591_801
representatives	169_245
republican	162_204
respond	282_519
role	635
round	522
rousseff	571_648_679
run	228
ryan	171_192_224_291
say	64_137_172_193_268_283_380_442_471_516_654_784_826
scottish	848
security	780
senate	686
several	527
she	691
shell	540
short	486
should	692
show	200
side	408_511
since	877
size	344
sleeper	748
so	303_306
southeast	430
spate	763
speaker	163_240_290_555_574
spokesman	134
spread	481
stand	693
states	701
still	271
strip	598
support	179_203_275_289
supreme	548_594_651
suspend	553
syrian	5_49
taint	664
take	839
tank	539
tanker	355
target	53
tell	41_457
terrifying	488
test	873
than	361_722_758_862
that	201_207_296_610_658_808
the	9_29_39_42_48_56_65_91_105_125_130_133_161_165_183_188_194_211_227_239_242_247_250_264_276_297_322_339_346_370_381_392_399_421_424_429_440_443_451_461_465_472_509_513_544_547_554_557_568_573_593_640_650_659_665_668_685_699_738_745_793_798_806_822_831_847_851_856_871
there	138_751
they	71_116_155_314_367_483
this	62
those	84_417
three	335
time	311
to	14_157_178_199_229_260_274_288_329_356_398_410_428_447_520_566_597_802_811_816
too	675
treat	302
trial	694
trudeau	456
trump	181_257_280
turkish	10
two	510_723_762
united	700
up	409_830
us	166_265
vast	318
vice	231
victim	66
violence	159_507
vote	212_596_683
voter	834
vulnerable	776
wales	854
war	491
we	403
week	60_688
what	83_89
where	95_99_103_108_112_121
whether	690
which	51_619
white	126
who	26_151_562_680_741
wild	319_393
win	210
wind	387_401_405_418
with	351
woman	74_533_712_778
work	666
worker	377_707
world	106
would	612
year	760_889
yesterday	390
yet	177
young	711_777
，	34
