''	656
former	780
found	603
from	68_385_506_741_750_771_845
front	91
games	753
general	785
global	601
go	88
government	512
grand	551_829
grave	265_399
gun	21
hand	131
haq	214
haram	316
havana	636
have	2_25_58_116_143_317_334_366_489_516_538_558_566_593_662_718_795
he	49_103_107_183_200_701_725_813_817_838
head	390
heart	579_820
hide	708
hold	133
house	32_680
humanitarian	345
hundred	117_123_144
hunger	415
i	119
illegal	606
impeachment	692
improve	292
in	6_71_153_161_191_197_242_307_323_352_357_370_395_428_459_479_494_556_627_635_711_754_774_792_831
indicate	422
indict	826
interest	190
international	222_250_268_742_763
into	36_598
irresponsible	257
islamist	314
issue	469
it	74_80_565_592_749
its	296_578
jimenez	651
john	86_803
join	106
joint	519
jong-un	174
juan	535
jury	830
katty	332
kim	173
korea	226_240
korean	171
land	585
last	470_559
late	35
later	528
latin	429
launch	230
laura	69
law	22
lawyer	814
lead	498_690
leader	172_647_676
least	408
leave	573
life	294_571
link	491
louis	87
lower	679
make	95_526
makeshift	329
malnutrition	387
manuel	536
mass	139
media	196
medical	300
medium-range	207
meet	645
microcephaly	493
might	617
militant	313
military	616
million	574_841
minute	100
missile	176_208_233_282
mission	394
money	710
month	326_548
more	67_362_560_568
mr	56_688_716_823
msf	302_338_393
national	732
nearly	304
neigeria	309_396
new	398_420_670
news	505_850
next	547
night	38
normal	53
north	170_225
northeast	308
not	727
november	471
now	113_622
nuclear	278
number	425
obligation	269
occupy	26
october	832
of	29_33_136_138_145_187_205_221_231_239_244_248_267_277_295_319_355_378_391_426_443_640_648_677_681_769_782_800_843
olympic	752
olympics	773
on	108_180_403_447_529_609_618
one	611_738
online	453
only	285
other	620
out	76_82_179
outside	147
over	121_584_595
pacific	193
part	160
party	12
past	325
paul	43
peace	542_625
peasant	588
people	306_365_410
peoples	237
per	411
personally	201
picture	135
pill	457
politician	13
pregnancy	435
president	534_632_697_781
proceedings	54
process	693
protester	146
prove	182
public	527
publicity	64
pyongyang	198
quiet	77
quietly	78
rebel	515
receive	705
redistribution	586
report	552
representative	125
representatives	34
republic	238
republican	41
request	454
researcher	451
resign	728
resume	52
retesting	768
rica	484
rights	589
rise	436
rousseff	699
rule	663
russia	730
ryan	44_57
salvador	481
sample	770
sanction	223
santos	537
say	175_199_215_303_374_397_539_724_815_836
scene	5
screen	382
secret	712
security	288
seek	431
severe	500
sharply	437
shelter	368
shooting	140
shout	46
side	612
sight	628
sign	546
singing	128
sit	17_61_126_163
speaker	42
speech	97
spokesman	212
staff	339
start	75_81
starvation	320
state	15_195_359
statement	372
study	421
stunt	65
succumb	413
suffer	384_818
supervise	202
supreme	660
suspend	675_696
suspention	759
sympathy	154
take	159_367
team	734
terminate	433
test	177_217
testing	204
than	363_561_569
that	342_423_816_837
the	7_27_30_31_37_40_60_84_90_109_148_162_169_192_203_216_235_245_249_271_275_287_293_299_312_324_335_350_353_379_389_392_424_441_444_464_507_510_522_532_540_554_596_605_610_619_630_638_641_646_674_678_682_691_695_709_751_757_762_767_772_783_793_798
there	1_664
they	24_151_373_381_434_473
think	120
third	478
this	165_260
those	156
threaten	758
thursday	530
tighter	20
timochenko	655
timoleon	650
to	18_51_89_94_105_291_414_432_492_499_668
trade	608
try	93
two	122_206
un	211_784_806
unanimous	246
unborn	448
undermine	286
unfold	348
unprecedented	167
us	8_189_794
victim	137
violation	220_266_746
virus	446
war	555_602
warn	341
warning	439
washington	72_614
we	115_142
weapon	279
wednesday	181
weightlifing	733
weightlifting	764
when	48
where	10_361
which	496
who	157_310_787
will	247_284_474_524_550_633_644_726
winner	333
with	83_155_704
woman	427
world	504
wrong	721
year	597_739
yet	228
zika	445_466_488
