's	281_411_557_562
next	720
nine	41
no	555
nominate	709
norety	405
normally	708
northern	594_814
not	105_247_467
november	702
now	135
numberof	506
obama	354
of	24_50_59_128_132_139_158_176_212_214_240_278_287_403_416_431_453_502_610_681_740_835_839_842
officer	218_257
on	163_559_830
one	49_113_119_415_581
onislamist	304
only	499
oppose	803
opt	729
or	114_116_531
organization	447_535_641
other	850
out	28
outside	183
over	837
party	798
partyconvention	717
patrolling	262
pay	776
people	42_71_227_809
peoplein	434
percent	680
perpetrator	101_159
peter	290
philadelphia	719
phone	325
pkk.bbc	537
ploter	521
police	12_47_91_141_200_474
population	683
pose	522
possible	350
possibly	152
president	353_366_713
presidential	699_780
press	646
prime	401
private	462
pro-government	824_857
promise	355
provide	357
ready	395
rebel	822
red	612
refugee	552_672
regional	174
register	774
reopen	649
report	605
reporter	171
represent	764
republican	775_797
resgitered	670
residential	242
richard	167
right	134_236
rockbound	579
rufugee	653
run	165_756
running	694
say	48_93_382_426_518_542_750_786_799
scence	193
secretary	379
sector	463
security	145_282
semi-automatic	260
senate.david	760
senator	733
service	68_146
seven	586
several	833
she	285_693
shock	385
shooter	120
shooting	31
shopping	34_185
shot	321
should	635
shout	334
show	328
shut	63
side	847
since	572
sink	480
situation	89_569
so	123
soldier	588
some	432
speculation	724
staff	288
start	852
state	529
stay	76
stick	553
still	162
stop	791
strongest	349
suggestion	309
suicide	574
support	359_372
supremacist	743
sure	106
suspend	69
suspetion	302
syrian	551_671
take	149
ten	215_679
tense	192
tension	836
term	351
terrible	390
terror	446
than	526_549_668
that	310_491_584_631_659_676_726_751
the	8_118_164_173_184_196_199_226_238_263_272_279_298_339_344_364_376_389_399_417_420_427_435_450_454_469_473_476_489_500_505_519_527_532_536_567_577_607_611_625_682_697_715_723_731_741_745_758_768_779_827_840_845_853_856_862
themselves	643
there	125_255_306_665
they	51_94_103_206_221_245_249_492_560
this	234_445_497_689
those	632
threat	525
three	100_115
through	481
thursday	831
tim	734
time	789
tip	501
to	75_99_148_216_327_356_396_624_645_648_652_691_755_763_778_790
town	841
town.bbc	863
transport	67
tribute	777
trump	783
tuareg	821
turkey	404
tv	178
twelve	217
two	817_846
unable	644
unclear	294
up	98
urgent	543
us	698_759
vedio	769
verginia	732
very	87_191_202_203_231_268
voice	370
walk	208
want	762
war	634
warn	74
we	154
week	410_721
weekend	690
western	656
what	251
whatever	358
white	340_742
who	26_160_295
will	275_706_728
with	7_65_172_258_564
withdraw	860
without	616
would	801
year	444
yoland	603
zone	601
