'	868
extremism	423
face	26_715
facility	691
fail	468
fame	791
fifa	724
file	576
fire	456
first	225_487
flame	459
fly	331
follow	692
football	708_725
footballer	757
for	14_71_223_355_400_428_485_657_752_761
four	658
free	597
from	121_436_519_541
funding	431
general	509
generation	855
german	585
germany	548_615
give	525_751
gjorge	139
govern	166
government	305
grant	142
great	777
guarantee	596
guzman	700
hahn	209
hail	770
half	668
have	6_16_63_97_101_141_155_172_191_218_271_297_330_387_448_497_551_575_589_681_749_758_780_809
he	18_99_104_114_189_239_360_367_558_753_762_788_834_844_849_870_886_889
head	704
headquarters	284
hearing	533
help	434
here	254
highlight	128
history	492
house	45
housing	649
human	632
if	117_451_466
immigrant	827
impeach	84
impeachment	27
implement	311
improve	682
in	76_133_194_227_285_300_308_390_438_489_547_626_654_672_722_792_804_816_829_879
include	162_181
indict	739
inmate	653_664
insulting	607
intelligence	170
interest	197
international	295
into	332_376
it	475_481_676
its	490_506
ivanov	140_187
jail	648_671
jan	549
jewish	826
joaquin	699
johannes	208
journalist	182
juba	336
judiciary	184
jump	460
justice	745
ki-moon	515
kitchen	864
last	319_322
late	831
laundering	721
leader	215_270
learn	449
legitimately	51
lobby	760
london	805_817_880
lord	698
lower	44
lowings	808_898
macedonia	138
machar	217_260_278_357
make	64_116_302
marco	728
mask	100
massive	149
math	483
measure	373
member	520
merkel	588
mexico	629_684
michel	35_87
middle	440_453
money	720
month	735
more	177_228_325_810
most	636_686
move	200
mr.	186_277_356_573
ms.	22_95
multi-billion-dollar	430
national	196_403_631
nations	496
near	288
nero	731
new	368_854
news	540_901
next	507
no	747
not	362_472_477
obscene	561
of	10_42_46_108_111_137_176_234_246_335_339_342_385_504_623_637_669_695_705_717_744_774_785_824_852_856
office	62_122
oladipo	257
on	29_395_536_570_843
once	769
one	773
open	498
opposition	269_307
overcrowded	643
overseas	396
panel	409
paralyze	157
pardon	144
part	233_338_851
partly	665
party	167
peace	236_313
penalty	622
people	180_659
perform	892
phone	175
piette	56
place	377_553
play	836_890
playwright	778
plot	11
poem	562
police	349_555
politician	147
polo	729
position	369
post	245
poverty	383
president	3_34_53_59_136_248_566
prison	627_641_688
process	503
program	432
properly	413
prosecution	610
protection	556
provide	353
public	882
put	375
question	529
racketeering	718
read	559
reason	748
rebel	214_283_328
recapture	694
recep	567
recording	107
refugee	435
rehearsal	110
release	105
remain	73_642
remove	120
replace	513
report	57
reputation	887
resign	93
resignation	763
resume	243_535
return	219_272_754
riek	216_259
rights	633
rock	380
rocket	478
root	840
rousseff	5_23_60_96
royal	801_876
russian	825
satirist	582
say	32_98_125_188_359_412_590_602_635_663_677
scandal	151_726
science	479
secret	502
secretary	508
secure	687
security	354_372_404
senate	408
she	8_12_67_85_118_124_601
side	317
sign	318
singer	426
sink	866
sir	765_812
slip	102
soldier	347
some	647
sometimes	861
son	823
south	212_309
speaker	41
speech	113
spend	394
spokesman	262
star	381
state	521
step	299_732
stipulate	620
succeed	473
such	838
sudan	213_310
sunday	30_80
sure	303
survive	79
take	193_365
tap	173
tape	127
target	414
tayyip	568
television	571
tell	388
temer	36_88
term	341
than	178_229_326
that	66_164_267_392_591_679
the	1_40_43_72_112_126_129_153_159_165_169_174_195_199_204_211_221_224_244_251_265_268_274_282_286_289_294_304_333_340_343_379_407_418_425_439_452_458_486_494_500_526_532_542_564_581_584_592_603_638_661_670_673_689_693_696_702_706_723_741_772_783_793_796_800_830_875_894
theatre	803_878
these	346_371
they	530
though	678
threat	130
three	624_734
time	226_488
to	48_83_92_131_145_220_242_264_273_298_301_352_364_433_512_528_651_790
tomi	256
traitor	20
trilogy	798_872
troops	329
turkish	565
two	230
under	554_614
united	495
until	370
up	366_499_650
upbringing	847
us	742
usually	501
vice	33_247
violent	422
vital	399
vote	28_75_82
washington	391
waver	74
we	446
wednesday	537
week	323
wesker	767_797_871
what	859
when	103
which	161_315_619
who	25_358_522
will	534
win	68_881
with	39_250_291_646_795
work	713_845
world	539_895
would	89_115_361
write	858
year	231_625
