'	182_443_677
isil	230
islamic	199
issue	740
it	286_447_560_569
its	813
james	781
jar	777
joe	140
john	335_393
josh	169
kill	17_316
kilogram	826
know	31
labor	627_658
last	279_296_390
latin	565
least	13_810
leave	793
legalize	555
lend	143
let	670
life	450
line	277
little	830
local	800
lucifer	345
lyon	645
maintenance	762
make	559
many	117_584_768
marriage	558_587
marry	602
marseille	647
maximian	850
may	865
medical	131
military	701
minister	190_210_240
miserable	437
mood	411
more	49_118_303_436_610_856
most	397_828
move	539
mr.	353_365_507_725
much	807
must	308
nante	643
nations	261
near	778
never	432_839
new	380
news	543_887
next	667
nick	383
night	27
nominee	373
not	90_123_363_809
now	10
nuclear	282
obviously	218
of	8_67_78_178_232_248_314_329_333_440_463_476_530_586_631_713_756_770_812_818_824_832_847_882
offer	461
officer	614
on	25_130_221_258_320_674_763
open	534
oppose	624
or	346_872
out	688
outsider	465
outspoken	459
over	311
paris	637
parliament	666
part	505
party	371
past	62
pay	870
pension	591
people	15_52_315
perhaps	877
period	881
philip	484
pipe	765
plan	626
play	502
police	613
political	249
position	523
power	728
powerful	398_653
president	139_696_714
presidential	340
press	263
pretty	806
prime	189_209_239
priority	207_237
procedural	737
proof	462
protestor	623
pursue	245
put	446
read	782
rebel	68
reform	250_628_659
regulation	673
relative	313
release	268
report	54_86_783
representatives	334
republican	358_399_425
resignation	389
result	66
rich	795
right	600
rights	678
romans	786
rome	758_855
rubble	41
rule	295_787_854
sam	76
same	556
sanction	283
sankara	716
say	11_84_171_360_414_455_517_656_732_802
scale	814
scourge	475
second	236
secretary	483
serval	790
servant	874
set	247
seville	779
sex	557
shell	69
should	662
show	829
sign	831
since	290_494
slice	529
slowly	533
smf	121
so	126_604
soldier	871
some	630
son	439
southern	749
spain	750_788
speaker	328_407
spokesman	168
state	200
states	181_266
status	466
still	37
store	868
strike	47
structure	132
such	492
suggest	836
support	105_124_145_184
supreme	293_549
symbolically	598
syrian	6
take	526
taylor	77
tear	835
ted	342_452
tehran	324
than	50_304_611_857
that	21_100_120_208_224_238_298_429_723
the	5_29_33_40_45_61_79_91_97_136_165_172_179_188_198_215_219_222_235_259_264_291_326_330_339_347_350_370_375_396_404_435_456_474_480_490_512_537_545_548_561_597_632_657_680_694_711_718_730_733_741_767_785_816_845_848
themselves	524
there	115_203
these	127
they	85_413_608_837_843_864
think	863
this	88_95_110_803
thomas	715
thousand	769
through	39
throughout	472
throw	687
time	93_99
to	55_146_156_193_196_251_262_267_312_501_522_525_567_578_601_625_727_869
total	823
toulouse	649
trade	498
tribunal	702_734
trip	155_510
two	205_305
unannounced	154
uncover	752
unify	194
union	581_655
unique	808
united	180_260_265
unrest	884
until	387
up	386
us	274_292_331
vice	138
violence	634
violent	883
visit	173_493
wage	228
want	521
warrant	692_742
washington	477
water	764
wear	833
wednesday	26
week	63_297_668
weigh	821
well	71
western	518
when	739
which	661
while	760
white	34_166_376
who	853
will	669
with	278_419_434_622_710
without	82_103
work	433
worker	3_676_747
world	542
worst	633
worth	302
would	362_431
year	111_163_280_391_721_859
york	381
