''	184
have	25_36_54_91_96_107_142_155_238_286_295_303_317_429_435_485_612_644_661_720_765_792_829_904
he	174_197_908_931
head	307
here	333
hit	930
hold	561
human	634
humanitarian	2
hungary	797_823
i	226_277
iceland	849
if	757
illegal	468
in	27_67_119_132_216_319_323_326_344_369_423_441_447_461_682_685_762_776_802_845_850_865_872_898_911
indicate	499
international	470
into	591
investigator	695_747
iraqi	9_34_78
ireland	864
islamic	38_70_667
israel	256
israeli	433_459
it	157_230_250_266_271_660_675_923
italian	501_536
its	17_82_453_507
jewish	445
johnston	59
kill	613_662_906
know	275_300
lake	342_368
last	29_710
latest	900
law	471
lead	524
least	393_575
look	254_259
los	912
lot	732
mainly	359
major	474
many	597_639
marseille	851
mass	14
match	812_847
matteo	539
mayor	510_562
medea	691
mediterranean	778
memory	725
might	222
militant	40_72_99_668
military	79_610_658
million	439
minister	538
monitoring	625
month	711
moscow	331
most	312_376
mountainous	687
movement	521
ms.	542
much	43
nation	183
nationality	213
nearby	425
nearly	139
news	566_741_942
night	595
nightclub	194
nominee	148
northern	345
northwest	327
norwegian	124
now	76_130
number	555
object	836
observatory	632
occupied	449_463
of	11_16_42_44_69_281_313_360_377_395_517_556_598_670_689_704_733_752_788_805_835_863
off	841
offence	858
on	185_341_410_593_712_782_813
one	394
only	619
onto	366_878
open	793
operation	684
or	214_764
orlando	193
other	199_247_261_557
out	41_365
over	437_525_832
overwhelm	56
own	909
palestinian	464
paris	716
peace	477
people	90_141_310_422_781
person	207
pitch	880
play	860_896
poll	496_513
population	19
portugal	801_869
predict	220
presidency	152
presumptive	146
prime	537
privilege	552
proceedings	795
profile	169
profiling	282
program	179
promise	547
punishment	855
quote	743
race	209
raft	374
raggi	516_543
reception	49
recorder	703
refugee	125_578_615
region	692
religion	211
remain	131
renzi	540
repeatedly	486
report	60_602_718_821
republic	862
republican	147
require	731
response	454
reuters	740
rights	635
risk	98
rival	527
river	114
roadside	103
roan	820
roberto	528
roll	924
rome	498
rosenberg	336
round	418
run	544
russia	328_346
same	607
saturday	594_814
say	23_156_198_573_616_637_659_676_721_746
scoreless	885
security	456_938
seize	681
send	768
sense	291
seriously	166
set	840
settlement	446_460_492
she	416_420_526
shoot	580_650
shooting	195
shore	412
shot	622
significant	827
similar	857
sniper	100
so	228
some	106
something	232
source	744
south	669
speak	176
sport	817
stand	918
start	164_240_288
startrek	901
state	39_71
steep	928
steve	335
storm	390
stumbling-block	475
successfully	272
survivor	402
syamozero	343
syrian	577_631_642
tactic	204
take	364
team	883
that	135_233_500_722
the	7_28_33_45_77_85_113_120_123_145_150_161_178_182_191_202_243_279_338_367_378_396_401_411_432_448_462_479_482_512_518_535_568_599_606_614_617_628_656_671_686_690_698_705_713_750_753_777_785_803_809_833_846_861_879_882_890_899_915_920_927_933_937
there	387
they	95_264_269_314_587_724_758
think	165_227_241
this	646
thousand	24
through	84
throwing	834
tigris	115
time	159_734
to	110_163_170_177_219_237_239_287_296_304_427_455_476_491_505_548_589_603_719_737_766
together	137
tourist	355
tragedy	339
trouble	873
trump	154
try	109_588
turkey	592
turkish	583_609_652
two	63_370
uefa	791
unconscious	413
under	469
unfold	5
union	484
unit	726
up	409
urban	46
us	151_480
use	168_201_206_289_297_305
vehicle	921
victim	600
village	426
virginia	515
voice	702
wake	804
wall	935
warn	621
warning	352
wash	408
way	83
we	234_285_294_302_306_816
weapon	677
weather	325_351
west	450
what	428
when	415_922
which	205_708
while	859
who	221_407_531_895
will	730_748
with	779_887
worker	22_118
world	565
year	64_647
yelchin	893
you	253_258_274_299
