's	19_244_318_886
guilty	559
hang	675
have	29_129_237_257_279_451_460_476_536_590_722_746_761_779_872_898
he	113_144_156_204_259_278_285_287_398_412_419_526_598_621_629
heart	16
heaviest	740
hello	1
help	567
here	797
herself	676
hillary	632
hold	518_748_864
home	878
house	767
houssein	188
humanity	563
hundred	473
hussein	248
i	3_417_442_447
imminent	240
imprisonment	544
improvement	752
in	24_198_304_310_389_468_482_488_534_548_601_604_616_657_669_698_704_730_733_753_815_913
insist	276
intelligence	223
into	89
involve	303
iraq	27_66_243_267_317_331_336
issue	396
it	101_110_159_166_234_378_394_436_450_459_821
jail	670
jeremy	69
john	51_404
join	723
joint	369
june	602
kansas	699
killing	571
know	684
ladislas	553
last	640
leader	246
leak	658_707
leaks	664_716
level	813
life	543
london	390
louisiana	489
mainly	573
make	123_859
man	494_701
manning	649_679_687
many	37
may	605
mayor	541
meter	809
military	90_132_190
million	595_612_638_795_870
minister	106_175_254
ministry	334
mislead	281
monitor	668
month	641
more	592_718_757_867
most	299
mr.	274_520_607
my	383
national	384
nearby	854
nearly	636
necessary	194
neil	5
news	10_578_791_922
no	239_400_414_840_843
not	98_153_193_226_280_623
now	782_848
ntaganzwa	554
nunes	6
objection	401_415
obviously	201
of	17_38_64_162_358_364_371_373_474_485_510_560_572_706_709_739_786_830_835_876_891_907
officer	302
official	424
on	44_57_186_220_425_502
one	432
only	610
organize	569
other	147
out	875
outside	478
part	23_547
particular	351
party	323_619
paul	343
people	148_575_760_796_871
plan	305
point	528
police	501_721
policeman	517
portugal	897
preparation	59
president	357
presidential	586
pressure	185
previously	380
prime	105_174_253
problem	40
prompt	614
properly	227
protest	506
protestor	475
push	86
put	183
quiet	200
rain	778
rainstorm	741
raise	413_591_609_635
range	530
receive	399
relief	744
repair	851
report	49_209_773
reportedly	672
republican	585_618
rival	631
river	801
road	769_841
robin	771
role	656
roof	836
rouge	487
run	802
rwandese	540
saddam	120_187_247
same	291
say	82_235_286_308_406_434_647
second	512
secret	661
secretary	363
security	180_385
see	177
seek	30
senior	12_300_422
sentence	537_693
serve	690
she	655
shoot	498_525
show	514
simply	834
so	429
some	831
soyer	405
staff	372
state	711
states	35_85_272_361_376_471_645
sterling	496_521
stop	780
store	481
suburb	817
such	184
sun	787
support	725
sure	860
take	22_289
team	296_902
temporary	751
ten	391_794
than	593_758_868
that	41_119_189_199_211_277_309_350_411_620_861
the	8_15_25_33_39_47_58_65_72_76_79_83_87_95_104_173_179_208_212_221_230_250_265_270_282_290_298_306_311_314_321_327_333_340_347_356_359_368_374_408_421_426_455_464_469_483_505_508_549_570_580_583_617_643_710_743_764_777_793_800_804_816_826_846_881_884_900_905_908
then	245
there	115_236
they	546_811_862_877
think	114_158
though	819
thousand	708
threat	241
three	611
through	803_903
time	80_163_341
to	21_31_75_124_130_176_214_216_261_264_330_337_407_524_542_568_626_662_674_714_724_850_858_883_904
tony	255
too	92
town	832
troops	719
trump	589_608
try	206_673
tuesday	503
tutsi	574
two	515_538
uk	88
un	77
underdog	917
united	34_84_271_360_375_470_644
up	865
us	315_328_584_659
use	131
usual	812
very	169_789
video	513
view	827
wales	918
war	28_67_217_268_307
waste	161
water	838
we	128_196
weather	754
wednesday	45
week	738
welcome	790
whatever	430
when	416
where	446_491_799
whether	178
while	140
white	516
who	634_651_681
wiki	663_715
with	7_143_155_387_454_463_628
within	229
without	324
world	577
worse	824
would	288_622
wuhan	775
