's	99_151_447_588_625_652_657_776_805
passionate	108
paul	137
people	72_525
persist	345
pkk	553_569
plant	208
player	797
policy	236
political	20
post	459_782
potential	92
presence	622_653
president	4_589_627_650_655
presidential	114_152
prevent	501
price	478
principle	259
productive	176
promise	116
prompt	418
protest	406_689
provide	767
put	464
question	751
race	423
reaction	693
really	284
rebel	570
rebuild	47
recover	96_848
reform	316
refuse	457
relation	424
remark	658
remove	359
replace	28
report	389
representative	170_666
republican	135
response	312_648
right-wing	308
rio	509
rise	409
rome	862
rousseff	30_105
rule	495
running	842
ryan	138_159
sailor	728_739
sale	381
salmon	817
same	257
say	43_68_139_172_270_366_523_547_565_620_719_761_815
see	239
seed	210
self-defense	434
send	840
senior	129_264
serena	771
several	593
she	111_124_790_803_809_814_822_841_847_856
shoot	330
short	182
since	27
site	363_385_472
so	224_820
social	786
society	83
something	444
southeastern	540
spark	405
speaker	164
speech	26_109
spokeswoman	617
spoonful	825
start	477
state	615_698
states	662
steal	560
stop	181
stray	741
street	442
strenuously	449
sudan	624
sure	250
survive	291
suspend	34
take	505
taste	830
teenager	335_437
temer	6_42
ten	726
tennis	778
terrier	811
that	64_204_241_251_271_499
the	1_9_56_61_70_79_85_97_113_127_133_149_163_166_169_209_218_235_256_287_302_307_321_332_350_354_372_391_401_411_436_441_458_465_508_516_519_539_545_548_583_608_613_621_635_660_668_675_685_716_723_738_745_762_774_795_816_844_858
they	173
thing	280
those	566
though	852
time	850
to	11_35_46_51_67_69_95_117_122_211_216_238_313_348_410_649_678_694_701_766_843_854
today	199
toilet	845
top-ranked	796
trayvon	336_394_445
trial	39
truck	561
trudeau	619
trump	155_186_198_269
trust	74_78
turkish	520
two	834
uganda	587
unarmed	333
unify	214
union	670
unite	12
united	661
unitedgungroup.com	474
up	379_467
urge	8
us	134_572_614_717
use	352
value	80
very	142_190
victim	705
video	784
vitality	86
vote	293_300
walk	580_686
want	368_633
war	709
washington	278
we	82_88_91_205_228_247_252_680_683
website	456
well	285
what	193
when	601
where	240
which	365_407
who	32_161_323_631_729
why	576
williams	772
willis	388
win	855
with	148_192_346_475_665
woman	775
word	63
work	282
world	484_513_777
wound	531
year	341
yorkshire	810
yoweri	590
zimmerman	319_429_462
