's	144_220_240_366_581
professor	794
program	887
proper	837
punish	502
quickly	288
race	769
ragid	215
rahman	801
rare	264_267
rather	333
recent	98
refuse	737
renew	518
report	69_695
republican	545_619
reputation	871
rescue	362_415
restrict	515
retire	858
review	95
right	762
rival	602
route	56
run	685
run-off	659
russian	239
safer	852_868
sambisa	448
sanders	604
say	31_151_172_259_302_341_379_569_594_623_826
schoolgirl	347_439_471
search	10_432
second	346_403
security	81_89_170_251
seem	321
senate	525
series	425
several	5_188
sharif	148
she	575_579_593_596_601_614_622
since	753
sinister	332
so	287
something	331
sould	312
speed	279
spokesman	367
spot	34
state	488_524_544_646
statement	384
still	313_395_479
stronghold	458
student	783_806
suddenly	281
suffer	829
suggest	221_241
suit	723
sunday	777
suspicion	789
swear	739
take	115_774
talk	249
team	698
technical	124_166
televised	705
television	849
terminate	505
terror	99
terrorist	152_230_308
than	164_233_334_354_896
that	17_222_242_289_301_303_322_342_574_595_624_720_781_827
the	14_20_32_39_48_52_71_97_112_134_140_159_162_169_179_194_218_238_325_338_373_398_402_408_424_431_434_451_454_460_469_486_499_523_528_543_551_557_560_564_584_617_634_639_657_667_673_697_703_733_750_757_768_771_820_845_885
then	880
there	174_343_380_570_893
they	258_442_516_519
thing	323
this	304_661
three	510
thursday	25
tight	92
time	752
to	9_47_59_130_132_157_207_227_250_280_284_445_492_509_526_533_539_609_616_629_652_716_738_760_804_815
tommy	387
towards	330
transfer	818
transport	213
treatment	838
trump	626
tunis	200
turn	613
two	355
under	94_400
union	641
university	793
unnamed	374
unqualified	628
up	508_671
us	487_565_631
van	679
very	263
vessel	1
veteran	846
vienna	691
vietnam	874
vote	491_532_660_773
voter	653
vow	608
want	715
war	875
water	37
way	573
we	212
wednesday	109_192
weekend	662
welcome	429
well	244
westcart	216
what	76_257
when	111_247
which	401_816
who	137_504_636_735
will	427_501_576
wing	807
with	61_407_507_590
work	892
world	548
would	381
wreckage	12
year	356_511_898
you	248
