's	70_529_627_688
the	1_9_18_46_57_68_78_82_110_126_131_140_143_150_154_164_186_209_214_235_245_248_251_287_307_315_321_341_369_386_418_428_455_461_469_483_495_502_524_545_550_573_613_617_648_655_658_663_666_671_674_679_726_736_741_754_757_767_785_804_816_820_823_833
theory	335
there	331
these	278
they	269_273_373_412_425_435_610
think	359
this	396_478_709
thomas	147
those	95_121
three	437_459
time	710
timing	249
to	14_29_161_180_197_267_294_480_578_612_622_700_704_713_717_731_779_793_799_831
tougher	127
town	552
track	71
transfer	211_252
trial	475
trump	240_291_305_327
twice	707
two	442_604
type	438
unfair	93
unfit	293
united	370
up	621
us	165_308
use	443
vaccine	381_414_440_484
van	723
vetting	48
victim	680
violation	101
virus	388_419_456
wait	35
wales	591
ward	416
warn	276
water	782
wear	803
week	408
well	512_637
where	822
which	133_227_449
while	565
who	96_695
will	11_107_262
win	274
with	32_213_220
woman	796
would	157_361_472_829
year	63_479_601
zealand	575
zika	387_446
，	89
