's	379_386_415_661
french	543_593_695
frenchman	494
from	216_343_585_612_680_809
give	441_748
go	463
go-ahead	750
goal	67
government	340_410_793
ground	15
group	218_626
guard	366
half	392
have	4_76_106_123_172_299_399_430_482_747_800
he	174_185_204_225_232_238_245_247_259_361_364_524_536
here	48
home	14_833
hope	283
horrendous	65
how	624
i	267_437
idle	434_447_451
illegal	270
image	819
import	406
in	85_91_253_297_312_329_332_373_480_489_513_529_564_573_578_619_646_729_759_780
incredibly	25
influence	596_697
inherit	668
inmate	528
into	511_590
iran	586
iranian	682
iraq	644_686
islamic	294_616
israeli	783
it	34_53_60_114_468_671
ivanglisda	215
jame	598
jesus	772
jordan	765
just	64_99
kill	193_306_368
landmine	754
lang	503
language	507
last	148_345
later	32
lead	380_630
least	308_324
leave	90_831
less	390
like	26
line	551_679_705
local	351
long	678
long-head	608
look	24_815
maduro	427
man	485
manchester	11_39
manufacture	272
manufacturer	396
many	69
map	554
match	42_97_165
material	408
may	577
mcmurray	813
medical	319
mediterranean	589_691
middle	556
militant	296_611
mine	787
moment	143
month	255_346
more	824
mr.duterte	201
mr.murduro	429
mukalla	316
nearly	602
news	476_839
nicolas	426
north	702
northern	685
not	36_398_657
november	149
object	22
obviously	75
of	59_138_315_335_555_576_595_633_703_721_763_794_798_820
offficial	348
official	411
old	16
on	56_158_162_177_180
operate	388
or	120
order	187
other	326
ottoman	736
out	6_301
outskirts	334
overthrow	424
own	66
paris	151
penalty	212_252
people	72_444_457_807_827
philippines	168
place	92
plan	230
plant	446_452_455_786
police	19_133_310_499
policy	176
political	239
politics	563
popular	651
port	314
possible	264
president	169_229_425
press	206
prison	490
property	822
prosecution	522
province	797
quarall	525
raw	407
react	134
ready	439
reaffirm	173
real	118_126
really	286
reason	130
recapture	342
recorded	696
recruit	311
reduce	269
region	566_665
release	801
remember	146
report	600
resist	197
restall	249
risk	122
river	764
rodrigo	170
sandfort	51
satellite	818
say	184_224_246_260_321_349_383_420
scale	594
search	84
second	358
secret	714
secretly	580
security	71_139_188_352
seem	61
seize	433
sentence	483
set	534
seven	487_757
shape	561
shoot	191
show	623
sign	572
significant	277
simple	236
single	550
site	768
six	365_484
so	94_135_614
solution	233
somebody	110
something	276
soon	262
source	320
south	710
southern	313
speak	610
spirit	720
stade	159
stadium	87
start	102
state	295_617
station	500
stretch	584
strongly	226
suicide	156_303
support	227
suppose	628
surround	756
survive	362
suspect	194
sykes-picot	570_635
symbol	718
syria	642
take	459_510
teacher	508
test	82
than	391_825
that	147_305_322_456_653_663_704_725_755
the	12_21_40_57_86_96_121_129_132_142_167_217_228_250_282_288_330_333_336_350_370_384_413_443_521_527_530_562_565_569_574_582_588_613_625_631_634_639_654_659_664_681_688_694_701_709_713_722_730_735_740_760_767_776_792_795_810
then	533
there	242
they	74_419_821_832
this	79_104_466_473
those	150
three	515
through	552_684
time	256_265_470_811
to	62_81_101_115_190_192_198_208_401_405_423_432_440_442_464_471_486_495_520_560_587_629_650_667_675_690_700_708_727_751_814_830
today	567
tough	175
traford	17
trap	790
truce	376
two	603
united	13_41_70
upon	535
use	78
vedio	621
venezuela	378
very	235
viable	37
volunteer	219
vow	431
way	689
we	461
west	761
what	670
when	95_244_258
where	769
which	339_418_558_804
while	68
who	111_196_532_785
why	131
wider	375
wildfire	836
will	240_248_268_458_805
with	154_526_693
worth	145
would	186_205
wound	328
wwi	741
year	488_516_540_604_732
yemen	298
you	279_285
